year,police_station,fatal_cases,fatal_male,fatal_female,fatal_total,severe_cases,severe_male,severe_female,severe_total,injured_cases,injured_male,injured_female,injured_total,noninjured_cases
1985,Kalasipalya,13,12,1,13,33,33,3,36,56,67,3,70,40
1985,Shanakarpura,_,_,_,0,10,10,_,10,10,18,1,19,4
1985,Victoria,_,_,_,0,3,3,_,3,6,3,_,3,2
1985,Chamrajpet,15,12,3,15,27,27,3,30,29,39,2,41,13
1985,Gavipuram,_,_,_,0,6,6,_,6,21,29,2,31,12
1985,Girinagar,_,_,_,0,3,3,_,3,14,19,_,19,9
1985,Byatarayanapura,14,14,2,16,21,25,1,26,30,45,4,49,11
1985,Janabharathi,1,1,_,1,5,5,_,5,12,12,_,12,3
1985,Kengeri,5,4,1,5,9,9,_,9,18,23,1,24,14
1985,Jayanagar,18,18,_,18,14,13,1,14,72,75,2,77,17
1985,J.P.Nagar,3,4,_,4,_,_,_,0,14,15,4,19,2
1985,Siddapura,2,2,_,2,10,11,_,11,24,28,4,32,17
1985,Thilaknagar,1,1,_,1,2,2,_,2,19,19,7,26,7
1985,Basavanagudi,9,9,_,9,13,12,1,13,55,58,2,60,24
1985,T.R.Nagar,_,_,_,0,_,_,_,0,_,_,_,0,_
1985,Banashanakari,8,9,_,9,6,6,_,6,14,15,8,23,9
1985,Hanumanthanagara,2,2,_,2,6,6,_,6,14,18,4,22,11
1985,Subramanyapura,2,2,_,2,_,_,_,0,11,15,8,23,5
1985,Ulsoorgate,6,6,_,6,_,_,_,0,93,102,2,104,43
1985,S.J.Park,6,6,_,6,6,6,1,7,58,60,8,68,27
1985,S.R.Nagar,4,5,_,5,1,1,_,1,51,61,6,67,36
1985,Wilsongarden,7,9,_,9,5,4,1,5,78,109,13,122,42
1985,Chikpet,3,3,_,,6,6,_,6,19,23,1,24,18
1985,Jalahalli,8,8,_,8,7,7,_,7,22,35,1,36,21
1985,Citymarket,7,5,_,5,9,8,1,9,31,48,_,48,22
1985,N.T.Pet,4,4,_,4,7,7,_,7,25,39,2,41,20
1985,Magadiroad,9,9,1,10,18,16,2,18,61,84,1,85,25
1985,Kengerigate,10,10,2,12,8,8,_,8,40,53,2,55,16
1985,J.J.Nagar,_,_,_,0,6,6,_,6,18,31,1,32,17
1985,Malleshwaram,4,3,1,4,9,9,1,10,71,82,10,92,39
1985,Sadashivnagar,6,5,1,6,6,6,1,7,44,45,8,53,12
1985,Srirampura,4,4,_,4,3,3,_,3,60,57,10,67,23
1985,Yeshwanthpura,13,13,1,14,6,6,_,6,77,87,24,111,61
1985,R.M.C.Yard,2,2,_,2,_,_,_,0,5,5,2,7,4
1985,S.D.Halli,2,2,_,2,_,_,_,0,4,4,2,6,_
1985,Peenya,7,6,1,7,1,1,_,1,45,48,8,56,24
1985,Jalahalli,2,2,1,3,2,2,_,2,20,20,5,25,12
1985,G.Gudi,3,3,_,3,_,_,_,0,10,13,4,17,2
1985,Rajajinagar,8,8,1,9,8,8,_,8,63,70,17,87,35
1985,Vijayanagar,9,9,1,10,2,2,_,2,65,75,10,85,34
1985,Subramanyapura,11,11,1,12,5,5,_,5,57,63,8,71,25
1985,M.Layout,3,3,_,3,1,1,_,1,17,25,6,31,3
1985,Basveshwarnagar,3,3,_,3,1,1,_,1,26,27,1,28,5
1985,Kamakshipalya,_,_,_,0,_,_,_,0,_,_,_,0,_
1985,Rajgopalnagar,_,_,_,0,_,_,_,0,_,_,_,0,_
1985,Ashoknagar,11,10,1,11,18,15,3,18,108,136,3,139,83
1985,Viveknagar,2,2,_,2,3,3,_,3,11,11,_,11,5
1985,Koramanagla,5,5,6,11,6,6,1,7,21,31,2,33,10
1985,Audogodi,4,4,_,4,8,8,_,8,22,42,2,44,18
1985,Madivala,10,10,_,10,15,12,2,14,28,38,2,40,16
1985,Mico Layout,9,9,_,9,10,10,1,11,28,38,2,40,21
1985,Frazertown,7,7,_,7,12,11,1,12,44,54,3,57,14
1985,K.G.Halli,1,1,_,1,2,2,1,3,12,12,2,14,2
1985,D.J.Halli,1,1,_,1,1,1,_,1,15,15,1,16,2
1985,Banasavadi,2,2,_,2,10,10,1,11,25,25,2,27,11
1985,Ulsoor,16,16,1,17,15,15,2,17,74,90,3,93,37
1985,Indiranagar,6,6,_,6,9,9,1,10,50,51,2,53,20
1985,Byappanahalli,4,4,_,4,6,6,1,7,24,24,1,25,15
1985,K.R.Puram,8,8,_,8,9,9,1,10,25,25,1,26,12
1985,Mahadevpura,3,3,_,3,4,4,_,4,8,17,1,18,6
1985,H.A.L,2,2,_,2,3,3,_,3,10,20,1,21,7
1985,Airport,4,4,_,4,10,5,1,6,12,22,1,23,9
1985,J.B.Nagar,1,1,_,1,4,4,_,4,8,18,1,19,8
1985,H.Grounds,12,10,2,12,5,5,1,6,84,67,17,84,35
1985,Cubbonpark,7,5,2,7,6,5,1,6,78,63,15,78,81
1985,C.Street,7,6,1,7,5,4,2,6,63,75,2,77,29
1985,Bharthinagar,1,1,_,1,4,4,1,5,24,30,1,31,8
1985,Shivajinagar,3,3,_,3,1,1,_,1,20,25,1,26,4
1985,Sheshadripuram,6,4,2,6,6,4,2,6,52,73,18,91,25
1985,Vyalikaval,7,5,2,7,3,2,1,3,49,63,11,74,20
1985,Hebbal,9,8,1,9,2,1,1,2,36,42,9,51,16
1985,Yelahanka,10,9,1,10,4,4,1,5,57,42,9,51,18
1985,J.C.Nagar,2,1,1,2,3,2,1,3,43,60,10,70,19
1985,R.T.Nagar,_,_,_,,_,_,_,0,_,_,_,,_
1985,Vidhanasoudha,1,1,_,1,3,2,1,3,29,26,8,34,9
1986,Chickpet,3,3,_,3,9,9,_,9,28,31,_,31,14
1986,Upparpet,6,6,_,6,12,11,1,12,48,51,2,53,22
1986,Citymarket,_,_,_,0,5,5,_,5,21,23,_,23,10
1986,N.T.Pet,1,1,_,1,3,3,_,3,12,15,_,15,7
1986,Magadiraod,7,7,1,8,20,19,1,20,75,84,3,87,25
1986,Kengerigate,5,5,_,5,14,14,_,14,49,53,2,55,21
1986,J.J.Nagar,_,_,_,0,4,4,_,4,37,46,1,47,17
1986,Ashoknagar,9,10,1,11,15,15,1,16,128,143,3,146,106
1986,Viveknagar,1,1,_,1,2,2,_,2,10,10,_,10,3
1986,Koramangala,5,6,_,6,5,5,_,5,21,21,1,22,17
1986,Audogodi,6,7,_,7,3,3,_,3,42,42,1,43,19
1986,Madivala,9,10,1,11,10,10,1,11,35,35,1,36,31
1986,Micolayout,8,8,_,8,10,10,1,11,28,33,_,33,21
1986,Frazertown,7,7,_,7,5,5,_,5,34,38,5,43,14
1986,K.G.Halli,1,1,_,1,1,1,_,1,10,10,1,11,5
1986,D.J.Halli,1,1,_,1,1,1,_,1,8,8,1,9,5
1986,Banasavadi,3,3,_,3,3,3,_,3,22,22,3,25,10
1986,Ulsoor,13,12,1,13,9,9,1,10,66,71,2,73,20
1986,Indiranagar,6,6,_,6,4,4,1,5,65,66,1,67,19
1986,Byappanahalli,4,4,_,4,4,4,_,4,24,24,1,25,12
1986,K.R.Puram,8,8,_,8,5,5,1,6,23,23,1,24,15
1986,Mahadevapura,4,4,_,4,4,4,_,4,17,17,1,18,6
1986,H.A.L,5,5,_,5,3,3,_,3,25,25,_,25,8
1986,Airport,4,4,_,4,4,4,_,4,32,32,1,33,14
1986,T.J.Nagar,2,2,_,2,2,2,_,2,18,18,_,18,12
1986,Jayanagar,70,10,_,10,12,12,1,13,51,60,5,65,17
1986,J.P.Nagar,1,1,_,1,1,1,_,1,6,6,3,9,8
1986,Siddapura,3,3,_,3,8,8,_,8,30,32,8,40,15
1986,Thilankanagar,3,3,_,3,15,14,1,15,23,30,5,35,5
1986,Basavanagudi,10,11,_,11,12,12,1,13,57,65,3,68,23
1986,T.R.Nagar,_,_,_,0,1,1,_,1,8,8,2,10,4
1986,Banashankari,6,6,_,6,5,5,_,5,42,55,4,59,14
1986,Hanumanthnagar,1,1,_,1,2,2,_,2,22,35,9,44,8
1986,Subramanyapura,5,5,_,5,1,1,_,1,10,15,8,23,5
1986,Ulsoorgate,11,11,1,12,17,16,1,17,87,102,10,112,40
1986,S.J.Park,5,5,_,5,11,11,_,11,71,83,5,88,48
1986,S.R.Nagar,8,8,_,8,12,12,_,12,36,40,5,45,26
1986,Wilsongarden,15,16,_,16,24,21,4,25,134,212,10,222,59
1986,H.Grounds,8,6,2,8,5,5,1,6,99,102,18,120,49
1986,Cubbonpark,8,7,1,8,5,4,2,6,92,98,12,110,62
1986,C.street,4,3,1,4,8,5,5,10,57,86,9,95,20
1986,Bharathinagar,7,6,1,7,7,8,2,10,35,51,8,59,10
1986,Shivajinagar,_,_,_,0,4,3,1,4,15,20,3,23,18
1986,Sheshadripuram,12,11,2,13,2,2,1,3,84,87,9,96,10
1986,Vyalikaval,7,6,1,7,3,3,1,4,54,57,6,63,17
1986,Hebbal,9,9,_,9,1,1,_,1,33,36,5,41,19
1986,Yelahanka,10,9,1,10,1,1,_,1,25,28,4,32,10
1986,J.C.Nagar,3,2,1,3,2,2,_,2,32,34,4,38,10
1986,R.T.Nagar,7,7,_,7,2,2,1,3,17,18,2,20,14
1986,Vidhansoudha,2,1,1,2,3,2,1,3,33,25,10,35,12
1986,Malleshwaram,7,6,1,7,10,10,_,10,77,72,18,90,39
1986,Sadashivnagar,2,2,_,2,2,2,_,2,31,34,10,44,30
1986,Srirampura,4,4,_,4,5,5,_,5,67,62,17,79,16
1986,Yeshawanthpura,23,20,4,24,9,9,_,9,80,128,22,150,54
1986,RMC.Yard,1,1,_,1,_,_,_,0,2,2,1,3,7
1986,Peenya,7,6,1,7,2,2,_,2,67,103,12,115,28
1986,S.D.Halli,1,1,_,1,_,_,_,0,3,3,_,3,3
1986,Jalahalli,_,_,_,0,3,3,_,3,36,52,10,62,8
1986,G.Gudi,2,2,_,2,1,_,_,0,8,9,3,12,1
1986,Rajajinagar,3,3,_,3,8,8,1,9,54,54,19,73,17
1986,Jayanagar,7,6,1,7,5,5,1,6,66,76,10,86,18
1986,Subramanyanagar,11,9,2,11,7,7,1,8,75,86,25,111,27
1986,M.Layout,3,3,_,3,1,1,_,1,14,19,6,25,8
1986,Basveshwarnagar,2,2,_,2,2,2,_,2,27,38,5,43,8
1986,Kamakshipalya,1,1,_,1,1,1,_,1,15,14,3,17,3
1986,Rajgopalnagar,_,_,_,0,1,1,_,1,1,1,_,1,_
1986,Central,1,1,_,1,16,18,2,20,35,40,2,42,19
1986,Kalasipalya,13,11,2,13,27,29,3,32,56,61,3,64,45
1986,Shankarpura,4,4,1,5,9,9,1,10,12,12,2,14,10
1986,Victoria,_,_,_,0,_,_,_,0,3,3,_,3,1
1986,Chamrajpet,5,2,3,5,12,12,2,14,41,46,4,50,20
1986,G.G.Halli,1,1,_,1,6,6,1,7,19,24,_,24,7
1986,Byatarayanapura,8,5,3,8,15,17,2,19,51,56,6,62,22
1986,Janbharathi,2,2,_,2,4,4,_,4,5,10,_,10,2
1986,Kengeri,1,1,_,1,12,12,_,12,17,22,3,25,10
1986,Girinagar,2,1,1,2,5,5,_,5,7,7,1,8,3
1987,Central,5,5,_,5,14,16,5,21,38,47,7,54,46
1987,Kalasipalya,20,18,2,20,27,29,4,33,54,54,5,59,17
1987,Shanakarpura,2,1,1,2,1,1,_,1,19,29,6,35,14
1987,Victoria,_,_,_,_,1,3,_,3,_,_,_,0,_
1987,Chamrajpet,5,4,1,5,38,40,3,43,50,63,3,66,26
1987,Byatarayanapura,12,11,2,13,11,12,2,14,46,66,2,68,25
1987,Kengeri,6,5,1,6,15,15,1,16,20,30,4,34,18
1987,Janabharathi,4,4,_,4,_,_,_,0,2,2,_,2,2
1987,G.G.Halli,_,_,_,0,_,_,_,0,8,8,_,8,1
1987,Girinagar,_,_,_,0,1,1,_,1,2,2,_,2,5
1987,Chickpet,1,1,_,1,2,2,_,2,16,17,_,17,18
1987,Upparpet,7,6,1,7,24,23,1,24,62,63,3,66,23
1987,Citymarket,2,2,_,2,3,3,_,3,17,21,_,21,5
1987,N.T.Pet,2,2,_,2,7,7,_,7,41,44,1,45,20
1987,Magadiroad,7,7,1,8,23,21,2,23,66,71,6,77,28
1987,Kengerigate,11,10,1,11,18,18,_,18,60,58,4,62,22
1987,J.J.Nagar,1,1,_,1,1,1,_,1,25,42,1,43,7
1987,Malleshwaram,8,7,1,8,10,10,1,11,73,80,8,88,39
1987,Sadashivnagar,3,3,_,3,1,1,_,1,34,42,2,44,29
1987,Srirampura,5,4,1,5,9,9,_,9,54,62,5,67,19
1987,Yeshwanthapura,17,17,1,18,20,20,2,22,92,128,4,132,49
1987,RMC.Yard,2,2,_,2,_,_,_,0,3,4,_,4,3
1987,Peenya,9,8,1,9,10,10,_,10,49,62,3,65,25
1987,S.D.Halli,2,2,_,2,5,5,_,5,3,4,1,5,_
1987,Jalahalli,5,4,1,5,1,1,_,1,20,25,2,27,8
1987,G.Gudi,1,1,_,1,1,1,_,1,8,10,2,12,2
1987,Rajajinagar,6,6,_,6,10,10,2,12,58,68,8,76,19
1987,Vijayanagar,8,8,1,9,11,11,1,12,68,74,9,83,24
1987,Subramanyanagar,6,6,_,6,7,7,1,8,58,69,12,81,20
1987,M.Layout,1,1,_,1,2,2,_,2,13,15,2,17,10
1987,Basweshwarnagar,_,_,_,0,8,8,2,10,34,44,6,50,18
1987,Kamakshipalya,9,9,_,9,2,2,_,2,22,24,_,24,19
1987,Rajgoplanagar,1,1,1,2,1,1,_,1,8,10,_,10,2
1987,H.Grounds,14,12,2,14,20,12,8,20,84,118,20,138,83
1987,Cubbonpark,5,4,1,5,13,19,6,25,70,85,15,100,74
1987,C.Street,9,8,1,9,10,10,2,12,45,65,10,75,31
1987,Bharathinagar,3,2,_,2,6,6,_,6,6,18,3,21,5
1987,Sheshadripuram,11,10,2,12,11,7,5,12,107,156,10,166,19
1987,Vyalikaval,7,7,2,9,10,6,4,10,43,50,6,56,18
1987,Hebbal,8,8,1,9,6,_,6,6,18,12,9,21,18
1987,Yelahanka,7,6,2,8,8,3,5,8,21,18,7,25,14
1987,J.C.Nagar,6,6,1,7,7,3,4,7,33,40,5,45,10
1987,R.T.Nagar,6,6,1,7,9,6,3,9,20,20,3,23,18
1987,Vidhana soudha,1,1,_,1,8,8,_,8,25,27,2,29,16
1987,Basavanagudi,3,3,_,3,8,8,_,8,29,32,6,38,12
1987,T.R.Nagar,1,1,_,1,9,9,_,9,27,29,4,33,8
1987,Hanumanthnagar,4,4,_,4,10,10,1,11,26,28,2,30,9
1987,Banashankari,2,2,_,2,9,8,1,9,34,36,2,38,18
1987,Subramanyapura,2,2,_,2,8,8,_,8,28,30,1,31,15
1987,Jayanagar,4,4,_,4,10,10,_,10,50,55,7,62,16
1987,J.P.Nagar,5,5,_,5,8,8,_,8,20,23,2,25,13
1987,Siddapura,3,3,_,3,5,5,_,5,45,56,8,64,14
1987,Thilaknagar,4,4,_,4,5,5,_,5,47,57,6,63,12
1987,Ulsoorgate,6,6,_,6,18,15,3,18,99,107,9,116,40
1987,S.R.Nagar,3,3,_,3,7,7,_,7,45,50,6,56,25
1987,S.J.P.Road,2,2,1,3,10,10,_,10,39,44,7,51,38
1987,Wilsongarden,12,12,_,12,20,18,2,20,113,123,11,134,50
1987,Ashoknagar,15,15,_,15,14,14,2,16,143,157,12,169,113
1987,Viveknagar,3,3,_,3,5,5,_,5,11,10,2,12,5
1987,Koramanagla,5,5,_,5,5,5,_,5,38,45,7,52,24
1987,Audogodi,6,6,_,6,6,6,_,6,38,45,4,49,20
1987,Madivala,12,12,_,12,12,12,1,13,62,67,6,73,25
1987,Mico Layout,10,10,_,10,10,10,1,11,51,56,1,57,18
1987,Frazertown,5,4,1,5,12,10,2,12,61,90,7,97,22
1987,K.G.Halli,1,1,_,1,1,1,1,2,11,11,1,12,5
1987,D.J.Halli,1,1,_,1,_,_,_,0,9,9,2,11,3
1987,Banasavadi,3,3,_,3,7,7,1,8,20,30,4,34,12
1987,Ulsoor,12,12,1,13,10,12,2,14,76,86,6,92,36
1987,Indiranagar,5,5,_,5,4,4,_,4,70,80,5,85,30
1987,Byappanahalli,4,4,_,4,4,4,_,4,24,24,3,27,13
1987,K.R.Puram,8,8,_,8,7,7,1,8,23,23,2,25,14
1987,Mahadevapura,4,4,_,4,4,4,_,4,17,17,1,18,9
1987,H.A.L,5,5,_,5,5,5,_,5,25,27,1,28,11
1987,Airport,4,4,_,4,4,4,_,4,32,37,1,38,12
1987,J.B.Nagar,2,2,_,2,2,2,_,2,18,18,1,19,10
1988,Chickpet,1,1,_,1,2,2,_,2,13,14,4,18,1
1988,Upparpet,15,14,1,15,25,21,4,25,100,102,3,105,28
1988,Market,2,2,_,2,2,2,_,2,26,26,2,28,5
1988,N.T.Pet,2,2,_,2,14,14,_,14,37,38,8,46,30
1988,Magadiraod,10,10,_,10,15,14,1,15,61,49,30,79,22
1988,Kengerigate,11,11,1,12,13,13,_,13,59,66,4,70,36
1988,J.J.Nagar,_,_,_,0,4,4,_,4,19,26,2,28,5
1988,Central,3,2,1,3,9,8,1,9,32,28,16,44,25
1988,Kalasipalya,20,18,2,20,20,18,2,20,70,45,30,75,47
1988,Shankarpura,1,1,_,1,6,3,3,6,33,26,25,51,19
1988,V.H,1,1,_,1,2,1,1,2,3,2,2,4,_
1988,Chamrajpet,11,12,1,13,41,24,5,29,69,95,12,107,34
1988,Byatarayanapur,14,11,3,14,25,15,1,16,63,187,30,217,36
1988,G.G.Halli,_,_,_,0,_,_,_,0,9,7,2,9,2
1988,Janabharathi,1,1,_,1,_,_,_,0,2,2,_,2,2
1988,Kengeri,5,7,1,8,10,10,2,12,6,5,1,6,7
1988,J.C.Nagar,_,_,_,0,1,1,_,1,3,3,_,3,4
1988,Jayanagar,7,6,1,7,48,46,3,49,109,120,5,125,35
1988,J.P.Nagar,4,4,_,4,10,10,_,10,27,28,2,30,8
1988,Siddapura,2,2,_,2,14,14,_,14,33,34,3,37,14
1988,Thilaknagar,4,4,_,4,16,14,2,16,65,72,3,75,9
1988,Basavanagudi,9,8,1,9,12,11,1,12,54,60,2,62,39
1988,T.R.Nagar,1,1,_,1,4,4,_,4,7,8,2,10,1
1988,Banashankari,7,6,1,7,11,10,1,11,30,32,3,35,25
1988,Hanumanthnagar,4,4,_,4,16,15,1,16,26,28,1,29,8
1988,Subramanyapura,2,2,_,2,6,6,_,6,8,9,1,10,3
1988,Ulsoorgate,7,6,1,7,24,23,1,24,51,53,5,58,43
1988,S.J.Park,4,4,_,4,13,13,_,13,61,65,3,68,32
1988,S.R.Nagar,8,6,2,8,5,5,_,5,38,42,17,59,29
1988,Wilsongarden,15,12,4,16,27,16,16,32,80,129,30,159,53
1988,Malleshwaram,8,7,1,8,27,28,2,30,48,55,15,70,35
1988,Sadashivnagar,5,5,_,5,21,22,_,22,30,30,10,40,30
1988,Srirampur,5,3,2,5,13,10,3,13,34,42,5,47,17
1988,Yeshwanthpur,15,12,3,15,31,30,5,35,98,148,8,156,68
1988,RMC.Yard,1,1,_,1,3,3,_,3,1,1,_,1,3
1988,Peenya,13,12,2,14,10,9,4,13,38,68,7,75,30
1988,S.D.Halli,1,1,_,1,_,_,_,0,4,4,_,4,1
1988,Jalahalli,3,3,_,3,8,7,1,8,32,52,8,60,5
1988,G.Gudi,3,3,_,3,4,4,_,4,17,24,2,26,6
1988,Rajajinagar,7,5,2,7,15,14,2,16,56,66,8,74,29
1988,Vijayanagar,6,5,2,7,19,16,3,19,52,67,6,73,29
1988,Subramanyanagar,6,6,1,7,24,20,4,24,69,78,10,88,31
1988,M.Layout,_,_,_,0,4,4,_,4,22,23,6,29,13
1988,Basaveshwarnagar,8,8,2,10,8,8,_,8,27,27,8,35,26
1988,Kamakshipalya,5,5,1,6,9,8,1,9,20,20,3,23,14
1988,Rajgopalnagar,_,_,_,0,2,2,_,2,2,3,_,3,3
1988,H.Grounds,16,12,4,16,39,38,4,42,88,113,12,125,90
1988,Cubbonpark,11,10,1,11,30,26,4,30,56,72,8,80,74
1988,C.Street,3,2,1,3,32,31,2,33,23,30,6,36,29
1988,Bharathinagar,3,2,1,3,21,20,1,21,35,46,4,50,16
1988,Shivajinagar,_,_,_,0,1,1,_,1,10,9,2,11,3
1988,Sheshadripuram,10,9,2,11,25,21,6,27,33,38,5,43,17
1988,Vyalikaval,7,5,2,7,13,10,5,15,34,39,7,46,28
1988,Hebbal,8,7,2,9,12,12,2,14,38,42,6,48,20
1988,Yelahanka,9,9,2,11,10,9,3,12,39,51,7,58,15
1988,J.C.Nagar,6,6,1,7,5,5,1,6,20,28,2,30,19
1988,R.T.Nagar,5,5,1,6,6,5,2,7,24,31,3,34,17
1988,Vidhanasoudha,1,1,_,1,8,7,1,8,13,19,2,21,25
1988,Ashoknagar,16,17,2,19,28,28,1,29,145,160,8,168,105
1988,Viveknagar,1,1,_,1,3,3,_,3,15,15,1,16,8
1988,Koramangala,8,8,_,8,12,12,_,12,40,60,4,64,25
1988,Audogodi,5,5,_,5,8,8,_,8,38,58,3,61,29
1988,Madivala,10,9,1,10,27,27,2,29,41,41,6,47,30
1988,Micolayout,10,8,2,10,22,22,1,23,35,37,6,43,22
1988,Frazertown,14,14,2,16,18,18,1,19,57,57,6,63,23
1988,K.G.Halli,2,2,_,2,1,1,_,1,10,10,2,12,3
1988,D.J.Halli,1,2,_,2,1,1,_,1,7,7,1,8,4
1988,Bansasvadi,5,5,1,6,2,2,_,2,15,15,6,21,16
1988,Ulsoor,16,16,2,18,30,30,_,30,35,60,8,68,30
1988,Indiranagar,10,10,_,10,27,27,1,28,29,52,4,56,21
1988,K.R.Nagar,15,14,2,16,8,9,_,9,27,35,2,37,20
1988,Mahadevpura,8,8,_,8,21,21,_,21,15,15,1,16,20
1988,H.A.L,2,2,_,2,12,12,_,12,22,22,1,23,15
1988,Airport,4,4,_,4,10,10,_,10,15,15,1,16,12
1988,J.B.Nagar,2,2,_,2,3,3,_,3,8,8,_,8,10
1989,Chickpet,1,1,_,1,5,5,_,5,28,26,5,31,8
1989,Upparpet,7,5,2,7,8,7,1,8,72,79,10,89,25
1989,Citymarket,1,1,_,1,3,3,_,3,21,22,2,24,11
1989,N.T.Pet,5,5,_,5,7,6,1,7,46,49,7,56,19
1989,Magadiraod,8,8,_,8,13,12,1,13,45,47,6,53,29
1989,Kengerigate,10,11,1,12,15,14,1,15,52,54,8,62,38
1989,J.J.Nagar,3,3,_,3,6,6,_,6,19,21,3,24,8
1989,Ulsoorgate,2,1,1,2,22,21,1,22,70,95,16,111,49
1989,S.R.Nagar,5,3,2,5,14,14,_,14,47,57,5,62,32
1989,S.J.Park,2,2,_,2,15,15,_,15,41,55,7,62,35
1989,Wilsongarden,15,10,5,15,27,27,_,27,77,85,10,95,48
1989,Siddapura,5,5,_,5,6,6,_,6,30,31,5,36,16
1989,Thilaknagar,5,5,_,5,8,8,_,8,46,55,2,57,22
1989,Jayanagar,7,5,2,7,28,28,_,28,78,85,2,87,51
1989,J.P.Nagar,3,3,_,3,10,10,_,10,24,28,3,31,15
1989,Basavangudi,4,3,1,4,25,25,1,26,81,90,10,100,42
1989,Banashankari,11,8,3,11,27,27,_,27,62,70,7,77,23
1989,Hanumanthnagar,3,2,1,3,13,13,_,13,31,35,4,39,15
1989,T.R.Nagar,1,1,_,1,6,4,_,4,13,16,2,18,4
1989,Subramanyapura,8,8,_,8,6,6,_,6,9,12,1,13,15
1989,Central,4,3,1,4,29,22,7,29,44,54,6,60,29
1989,Kalasipalya,14,12,2,14,21,13,8,21,93,103,15,118,52
1989,Shankarpura,1,1,_,1,6,5,1,6,18,28,3,31,14
1989,V.H,_,_,_,0,1,1,_,1,5,11,_,11,1
1989,Byataryanapura,16,15,2,17,28,24,8,32,77,95,15,110,30
1989,Chamrajpet,10,8,2,10,23,15,8,23,56,73,8,81,31
1989,G.G.Halli,2,2,_,2,2,2,_,2,10,20,8,28,1
1989,Janabharathi,_,_,_,0,2,1,1,2,3,7,_,7,3
1989,Kengeri,7,6,1,7,6,4,2,6,21,31,5,36,20
1989,Girinagar,1,1,_,1,1,1,_,1,12,22,3,25,1
1989,Malleshwaram,8,8,_,8,17,11,6,17,62,63,18,81,30
1989,Sadashivnagar,1,1,_,1,11,10,1,11,49,52,15,67,33
1989,Srirampura,8,8,1,9,11,10,1,11,43,38,12,50,24
1989,Yeshwanthapura,22,20,2,22,48,46,3,49,90,100,8,108,87
1989,R.M.C.Yard,_,_,_,0,_,_,_,0,1,1,_,1,8
1989,Peenya,11,12,1,13,18,18,2,20,41,51,7,58,22
1989,S.G.Halli,1,1,_,1,2,2,_,2,5,7,2,9,_
1989,Jalahalli,6,5,1,6,14,15,_,15,43,65,6,71,10
1989,G.Gudi,3,3,_,3,4,4,_,4,14,19,3,22,2
1989,Rajajinagar,8,6,2,8,22,20,3,23,59,66,15,81,39
1989,Vijayanagar,11,9,3,12,14,13,1,14,66,76,16,92,38
1989,Subramanyanagar,6,5,1,6,27,25,2,27,58,68,10,78,33
1989,M.Layout,3,2,1,3,6,6,_,6,12,12,3,15,10
1989,Basveshwarnagar,2,2,_,2,16,14,2,16,49,59,10,69,25
