year,vehicle_type,fatal_cases,fatal_male,fatal_female,fatal_total,severe_cases,severe_male,severe_female,severe_total,injured_cases,injured_male,injured_female,injured_total,noninjured_cases
1980,Motor Cycles,11,6,5,11,13,14,2,16,336,304,74,378,62
1980,Scooters,30,27,3,30,32,32,4,36,430,376,99,475,63
1980,Mopeds,4,3,1,4,6,6,1,7,42,30,15,45,5
1980,Auto Rikshaws,22,18,4,22,30,32,8,40,488,478,72,550,140
1980,Tempos,7,6,1,7,8,8,_,8,44,57,3,60,45
1980,Car's,23,20,8,28,38,36,4,40,378,399,54,453,253
1980,Taxis,1,1,_,1,_,_,_,0,13,13,4,17,4
1980,Jeeps,5,5,_,5,4,4,_,4,38,61,3,64,27
1980,Vans,3,2,1,3,2,2,_,2,63,73,9,82,49
1980,Lorrys,93,84,13,97,98,90,12,102,252,368,37,405,303
1980,B.T.S Busses,28,26,11,37,35,35,5,40,127,216,117,333,122
1980,K.S.R.T.C Buses,10,6,4,10,15,16,2,18,23,40,6,46,24
1980,Factory BUS,11,9,3,12,11,12,1,13,41,36,6,42,35
1980,Private Bus,15,16,1,17,14,16,1,17,21,41,4,45,35
1980,Military Buses,4,4,1,5,8,8,_,8,8,10,2,12,13
1980,Un-known Vehicles,14,11,3,14,10,10,_,10,8,8,_,8,31
1980,Tractors,5,4,1,5,1,1,_,1,13,11,3,14,4
1980,Cycles,6,4,1,5,1,1,1,2,34,17,17,34,5
1980,Jatakas,1,_,1,1,_,_,_,0,1,1,_,1,6
1980,Bullock Carts,2,2,_,2,_,_,_,0,1,_,1,1,5
1980,Others,_,_,_,0,_,_,_,0,_,_,_,0,2
1981,Motor Cycles,36,36,2,38,44,40,5,45,270,290,40,330,104
1981,Scooters,23,23,4,27,65,59,7,66,373,396,63,459,67
1981,Mopeds,7,6,2,8,10,8,2,10,47,59,11,70,11
1981,Auto Rikshaws,15,12,4,16,60,52,10,62,416,440,60,500,121
1981,Tempos,7,6,1,7,15,14,1,15,62,101,15,116,34
1981,Car's,30,27,4,31,36,32,4,36,411,437,37,474,168
1981,Taxi,_,_,_,0,3,3,_,3,14,20,6,26,7
1981,Jeep,4,4,1,5,9,9,_,9,47,63,8,71,12
1981,Van,11,9,2,11,14,14,_,14,74,92,10,102,56
1981,Lorrys,108,110,5,115,124,123,5,128,239,286,46,332,340
1981,B.T.S Busses,48,40,9,49,70,67,3,70,114,175,60,235,104
1981,K.S.R.T.C Busses,15,13,3,16,19,19,1,20,15,40,17,57,29
1981,Factory BUS,5,5,_,5,10,11,_,11,25,51,14,65,21
1981,Private Bus,21,18,3,21,10,10,_,10,50,71,10,81,42
1981,Military Buses,2,2,_,2,4,4,_,4,8,11,5,16,18
1981,Un-known Vehicles,8,7,1,8,6,6,_,6,15,32,2,34,43
1981,Tractors,4,4,_,4,2,2,_,2,9,25,7,32,6
1981,Cycles,2,2,_,2,1,1,_,1,37,35,3,38,1
1981,Jatakas,1,1,_,1,2,2,_,2,1,1,4,5,2
1981,Bullock Carts,_,_,_,0,1,1,_,1,3,2,9,11,1
1981,Others,_,_,_,0,3,3,_,3,6,10,2,12,1
1982,Motor Cycles,18,15,3,18,39,40,6,46,291,256,49,305,58
1982,Scooters,17,16,1,17,40,40,8,48,326,294,62,356,51
1982,Mopeds,3,3,_,3,4,3,1,4,52,50,8,58,9
1982,Auto Rikshaws,32,23,9,32,45,45,5,50,365,359,69,428,114
1982,Tempos,11,8,3,11,26,24,2,26,58,76,4,80,36
1982,Car's,18,17,4,21,36,34,2,36,340,368,43,411,208
1982,Taxi,_,_,_,0,1,1,_,1,10,9,2,11,4
1982,Jeep,4,3,1,4,6,6,_,6,46,53,6,59,19
1982,Van,12,8,4,12,20,18,2,20,51,67,14,81,45
1982,Lorrys,116,111,12,123,105,95,10,105,248,242,42,284,343
1982,B.T.S Busses,51,48,3,51,45,42,5,47,219,464,55,519,139
1982,K.S.R.T.C Busses,15,11,4,15,10,8,4,12,27,54,12,66,29
1982,Factory BUS,6,4,3,7,18,17,2,19,22,27,3,30,32
1982,Private Bus,18,18,2,20,22,20,3,23,31,73,12,85,40
1982,Military Vehicles,1,1,_,1,1,1,_,1,16,21,7,28,12
1982,Un-known Vehicles,9,9,1,10,14,13,1,14,6,8,_,8,43
1982,Tractors,_,_,_,0,_,_,_,0,16,19,6,25,6
1982,Cycles,_,_,_,0,_,_,_,0,20,18,8,26,12
1982,Jatakas,_,_,_,0,_,_,_,0,3,2,1,3,1
1982,Bullock Carts,_,_,_,0,_,_,_,0,3,2,_,2,2
1982,Others,_,_,_,0,_,_,_,0,2,2,_,2,_
1983,Motor Cycles,27,24,3,27,34,30,8,38,276,263,61,324,48
1983,Scooters,19,17,2,19,36,33,5,38,415,364,89,453,62
1983,Mopeds,2,2,_,2,9,8,2,10,67,52,16,68,12
1983,Auto Rikshaws,23,18,7,25,62,58,7,65,466,444,107,551,133
1983,Tempos,6,6,2,8,41,40,2,42,54,62,21,83,48
1983,Car's,30,21,11,32,38,37,2,39,354,389,55,444,201
1983,Taxis,1,1,_,1,1,1,_,1,7,13,_,13,2
1983,Jeeps,2,2,_,2,8,9,_,9,44,46,13,59,30
1983,Vans,11,9,3,12,20,20,1,21,108,125,29,154,44
1983,Lorrys,115,117,18,135,96,90,12,102,267,383,20,403,380
1983,B.T.S Busses,58,55,5,60,85,79,9,88,187,269,56,325,145
1983,K.S.R.T.C Busses,14,14,_,14,18,17,2,19,25,50,7,57,31
1983,Factory BUS,9,8,1,9,11,9,2,11,22,48,4,52,26
1983,Private Bus,14,14,_,14,25,22,4,26,39,106,26,132,41
1983,Military Vehicles,1,_,1,1,5,4,1,5,9,13,2,15,8
1983,Un-known Vehicles,14,13,1,14,8,8,_,8,16,16,_,16,54
1983,Tractors,4,4,_,4,2,1,1,2,3,5,_,5,6
1983,Cycles,6,5,1,6,3,2,1,3,32,25,10,35,6
1983,Jatakas,1,1,_,1,_,_,_,0,3,3,_,3,_
1983,Bullock Carts,2,2,_,2,_,_,_,0,4,3,1,4,2
1983,Others,_,_,_,0,_,_,_,0,1,1,_,1,_
1984,Motor Cycles,20,18,2,20,80,78,2,80,247,352,46,398,56
1984,Scooters,25,20,5,25,89,85,6,91,421,425,60,485,59
1984,Mopeds,6,5,1,6,14,14,2,16,71,87,4,91,12
1984,Auto Rikshaws,30,20,11,31,72,70,10,80,461,410,88,498,130
1984,Tempos,20,18,2,20,8,8,1,9,82,119,12,131,36
1984,Car's,17,14,3,17,15,14,1,15,426,443,18,461,208
1984,Taxis,1,1,_,1,8,8,_,8,8,10,4,14,4
1984,Jeeps,5,5,_,5,7,7,_,7,52,55,2,57,26
1984,Vans,14,12,2,14,8,8,_,8,122,159,14,173,80
1984,Lorrys,124,110,27,137,172,93,17,110,239,243,79,322,428
1984,B.T.S Busses,73,70,3,73,92,94,1,95,193,213,85,298,174
1984,K.S.R.T.C Busses,16,14,2,16,16,87,2,89,25,70,28,98,40
1984,Factory BUS,10,8,2,10,18,16,4,20,15,42,22,64,46
1984,Private Bus,16,14,3,17,14,12,3,15,23,38,25,63,42
1984,Military Trucks,5,5,_,5,2,2,_,2,17,20,2,22,14
1984,Un-known Vehicles,21,20,1,21,15,14,1,15,7,10,3,13,52
1984,Tractors,1,1,_,1,_,_,_,0,6,6,1,7,7
1984,Cycles,1,1,_,1,_,_,_,0,45,50,2,52,2
1984,Jatakas,1,1,_,1,_,_,_,0,3,4,1,5,5
1984,Bullock Carts,,,,0,,,,0,,,,0,2
1984,Others,2,2,_,2,_,_,_,0,4,3,1,4,2
1985,Motor Cycles,26,24,2,26,34,33,2,35,349,352,48,400,45
1985,Scooters,30,28,2,30,41,40,2,42,480,489,50,539,61
1985,Mopeds,6,5,1,6,8,7,1,8,106,102,15,117,16
1985,Auto Rikshaws,21,18,3,21,32,31,4,35,480,502,75,577,120
1985,Tempos,12,11,1,12,7,6,1,7,97,95,38,133,48
1985,Vans,15,14,1,15,16,14,2,16,88,103,10,113,78
1985,Cars,27,20,7,27,30,28,2,30,346,475,25,500,279
1985,Taxis,2,2,_,2,1,1,_,1,11,8,7,15,3
1985,Jeeps,7,6,1,7,2,2,_,2,59,75,5,80,31
1985,Lorrys,123,107,32,139,155,158,15,173,282,289,95,384,346
1985,B.T.S Busses,70,65,5,70,80,75,8,83,155,145,170,315,125
1985,K.S.R.T.C Busses,14,12,2,14,15,15,1,16,7,21,8,29,36
1985,Private Buses,10,8,2,10,28,27,2,29,17,50,2,52,41
1985,Factory Buses,15,13,2,15,27,26,2,28,6,19,4,23,24
1985,Military Vehicles,6,6,_,6,8,8,_,8,3,5,4,9,18
1985,Un-known Vehicles,15,14,1,15,8,8,_,8,11,10,5,15,64
1985,Tractors,1,1,_,1,1,1,_,1,12,15,_,15,7
1985,Cycles,3,2,1,3,_,_,_,0,38,37,1,38,2
1985,Jatakas,_,_,_,0,_,_,_,0,3,4,_,4,1
1985,Bullock Carts,_,_,_,0,_,_,_,0,6,6,_,6,1
1985,Others,_,_,_,0,_,_,_,0,6,6,_,6,1
1986,Motor Cycles,40,38,3,41,29,35,4,39,413,322,104,426,67
1986,Scooters,24,23,2,25,38,37,6,43,567,494,130,624,66
1986,Mopeds,10,9,1,10,10,10,2,12,132,119,22,141,18
1986,Auto Rikshaws,16,13,3,16,72,73,10,83,453,401,131,532,129
1986,Tempos,13,13,_,13,32,32,3,35,70,80,9,89,62
1986,Car's,23,23,_,23,42,48,1,49,385,401,72,473,246
1986,Taxi,_,_,_,0,7,9,_,9,6,6,1,7,5
1986,Jeep,6,6,_,6,17,16,1,17,47,64,6,70,28
1986,Van,13,13,1,14,18,18,_,18,99,117,5,122,61
1986,Lorrys,109,99,14,113,135,119,14,133,314,468,37,505,360
1986,B.T.S Busses,67,68,4,72,45,42,2,44,241,433,78,511,150
1986,K.S.R.T.C Busses,12,10,2,12,16,16,1,17,29,70,5,75,25
1986,Factory BUS,4,3,1,4,3,3,_,3,34,90,18,108,21
1986,Private Bus,12,10,2,12,9,8,_,8,49,87,20,107,39
1986,Military Vehicles,6,5,1,6,1,2,_,2,11,9,2,11,11
1986,Un-known Vehicles,20,20,1,21,4,4,1,5,29,25,6,31,64
1986,Tractors,3,3,_,3,_,_,_,0,3,3,_,3,9
1986,Cycles,4,3,1,4,_,_,_,0,31,30,3,33,4
1986,Jatakas,1,1,_,1,_,_,_,0,3,5,_,5,_
1986,Bullock Carts,1,1,_,1,1,1,_,1,3,4,_,4,_
1986,Others,_,_,_,0,_,_,_,0,1,3,_,3,_
1987,Motor Cycles,22,20,2,22,45,42,3,45,441,468,42,510,57
1987,Scooters,20,18,2,20,48,41,8,49,595,598,55,653,90
1987,Mopeds,7,6,1,7,14,13,2,15,145,130,20,150,28
1987,Auto Rikshaws,21,18,5,23,48,38,12,50,500,495,95,590,117
1987,Tempos,7,7,_,7,14,13,1,14,95,115,10,125,75
1987,Car's,21,19,1,20,45,40,5,45,444,504,41,545,269
1987,Taxi,2,2,_,2,5,4,1,5,6,8,1,9,6
1987,Jeep,13,12,1,13,27,22,6,28,46,70,2,72,49
1987,Van,19,18,1,19,40,35,5,40,72,94,10,104,83
1987,Lorrys,118,101,25,126,278,205,93,298,164,123,200,323,370
1987,B.T.S Busses,78,71,10,81,161,152,11,163,185,305,65,370,175
1987,K.S.R.T.C Busses,13,12,2,14,32,30,3,33,8,30,3,33,25
1987,Factory BUS,9,8,2,10,20,18,2,20,15,32,8,40,26
1987,Private Bus,15,12,4,16,32,31,2,33,16,60,8,68,47
1987,Military Buses,2,3,1,4,5,5,1,6,13,10,4,14,14
1987,Un-known Vehicles,27,18,9,27,30,30,1,31,10,14,2,16,100
1987,Tractors,4,4,_,4,8,8,_,8,6,10,_,10,6
1987,Cycles,3,2,1,3,3,2,1,3,24,27,2,29,1
1987,Jatakas,_,_,_,0,_,_,_,0,5,5,_,5,_
1987,Bullock Carts,1,1,_,1,1,1,_,1,3,4,_,4,2
1987,Others,_,_,_,0,_,_,_,0,_,_,_,0,1
1988,Motor Cycles,38,30,8,38,82,73,10,83,430,451,48,499,68
1988,Scooters,40,29,12,41,102,84,19,103,533,553,93,646,77
1988,Mopeds,12,6,8,14,47,41,6,47,105,110,34,144,22
1988,Auto Rikshaws,26,18,10,28,133,115,20,135,411,512,124,636,161
1988,Tempos,21,21,_,21,35,33,2,35,110,102,23,125,100
1988,Vans,16,16,_,16,37,34,3,37,116,117,8,125,93
1988,Cars,31,27,4,31,98,88,10,98,478,449,33,482,280
1988,Taxis,1,1,_,1,_,_,_,0,10,6,5,11,11
1988,Jeeps,6,6,_,6,12,12,_,12,50,44,7,51,40
1988,Lorrys,125,133,17,150,196,200,28,228,228,470,150,620,430
1988,B.T.S Busses,60,52,8,60,152,133,11,144,183,216,104,320,197
1988,K.S.R.T.C Busses,21,17,4,21,23,20,3,23,26,43,42,85,52
1988,Private Buses,14,13,1,14,8,6,2,8,31,32,13,45,57
1988,Factory Buses,11,10,1,11,14,12,2,14,26,20,22,42,21
1988,Military Trucks,4,4,_,4,6,6,_,6,12,13,2,15,14
1988,Un-known Vehicles,40,39,1,40,2,_,2,2,37,30,13,43,83
1988,Tractors,5,5,_,5,_,_,_,0,10,9,2,11,9
1988,Cycles,2,2,_,2,2,2,_,2,39,38,2,40,_
1988,Jatakas,_,_,_,0,_,_,_,0,3,3,_,3,_
1988,Bullock Carts,_,_,_,0,_,_,_,0,3,3,_,3,_
1988,Others,1,1,_,1,_,_,_,0,3,3,_,3,3
1989,Motor Cycles,46,39,10,49,142,120,24,144,446,508,78,586,91
1989,Scooters,43,33,12,45,153,130,26,156,498,552,84,636,114
1989,Mopeds,6,5,1,6,16,13,4,17,133,146,12,158,30
1989,Auto Rikshaws,21,13,8,21,105,80,27,107,483,550,90,640,165
1989,Tempos,20,22,1,23,74,69,6,75,125,181,27,208,128
1989,Car's,33,30,3,33,120,116,6,122,505,540,89,629,315
1989,Taxi,1,1,_,1,8,7,1,8,7,7,2,9,12
1989,Jeep,9,9,_,9,9,8,1,9,71,95,5,100,52
1989,Van,8,8,_,8,37,36,2,38,95,75,43,118,83
1989,Lorrys,141,117,30,147,225,253,30,283,252,277,160,437,455
1989,B.T.S Busses,76,75,7,82,88,80,10,90,262,401,68,469,213
1989,K.S.R.T.C Busses,18,19,_,19,18,17,2,19,54,69,14,83,46
1989,Factory Bus,13,11,2,13,12,12,_,12,39,93,20,113,46
1989,Private Bus,16,18,1,19,10,11,1,12,36,105,12,117,36
1989,Military Truck,4,4,_,4,2,2,_,2,11,16,_,16,14
1989,Un-known Vehicles,14,14,1,15,5,4,1,5,13,28,_,28,29
1989,Tractors,2,2,_,2,_,_,_,0,6,7,_,7,1
1989,Cycles,4,4,_,4,1,1,_,1,12,12,_,12,2
1989,Jatakas,1,1,_,1,_,_,_,0,1,1,_,1,_
1989,Bullock Carts,_,_,_,0,_,_,_,0,3,3,_,3,1
1989,Others Vehicles,11,11,_,11,_,_,_,0,56,61,_,61,88
1990,Motor Cycles,38,37,3,40,146,121,31,152,480,468,93,561,100
1990,Scooters,39,36,4,40,163,139,24,163,592,554,126,680,90
1990,Mopeds,13,10,3,13,36,30,7,37,139,140,12,152,22
1990,Auto Rikshaws,25,18,7,25,138,120,24,144,411,401,109,510,130
1990,Tempos,33,31,4,35,51,48,7,55,171,232,23,255,125
1990,Car's,32,24,8,32,178,158,22,180,505,546,128,674,342
1990,Taxi,2,2,_,2,1,_,1,1,9,14,_,14,8
1990,Jeep,6,7,_,7,28,27,2,29,61,73,14,87,49
1990,Van,17,18,2,20,44,44,3,47,124,142,27,169,94
1990,Lorrys,177,167,18,185,168,159,15,174,357,555,88,643,454
1990,B.T.S Busses,69,60,9,69,88,69,22,91,202,308,78,386,172
1990,K.S.R.T.C Busses,15,13,3,16,17,14,4,18,44,74,11,85,40
1990,Factory BUS,15,17,1,18,13,13,_,13,38,131,15,146,37
1990,Priyate Bus,16,15,3,18,13,12,1,13,25,55,9,64,30
1990,Military Buses,_,_,_,0,2,1,1,2,10,10,_,10,12
1990,Un-known Vehicles,31,30,3,33,13,11,2,13,57,47,17,64,99
1990,Tractors,3,3,_,3,_,_,-,0,12,15,-,15,4
1990,Cycles,_,_,_,0,_,_,_,0,18,18,2,20,2
1990,Jatakas,2,1,1,2,_,_,_,0,_,_,_,0,1
1990,Bullock Carts,1,_,1,1,_,_,_,0,_,_,_,0,1
1990,Others,3,3,_,3,_,-,_,0,8,7,3,10,18
1991,Motor Cycles,35,28,7,35,155,129,29,158,419,404,104,508,103
1991,Scooters,45,38,7,45,165,135,32,167,608,556,143,699,107
1991,Mopeds,12,6,6,12,55,43,13,56,121,100,27,127,29
1991,Auto Rikshaws,21,14,8,22,167,133,35,168,479,485,135,620,152
1991,Tempos,45,40,9,49,85,79,10,89,163,206,38,244,109
1991,Car's,37,33,4,37,209,180,32,212,517,561,96,657,364
1991,Taxi,1,_,1,1,5,4,1,5,1,2,_,2,9
1991,Jeep,4,3,2,5,24,21,3,24,71,80,10,90,59
1991,Van,17,13,4,17,28,25,12,37,155,164,19,183,102
1991,Lorrys,167,155,23,178,150,130,24,154,360,591,49,640,452
1991,B.T.S Busses,69,60,11,71,109,93,17,110,231,280,55,335,203
1991,K.S.R.T.C Busses,21,19,3,22,17,15,2,17,29,41,5,46,36
1991,Factory BUS,3,4,_,4,15,15,1,16,39,54,25,79,36
1991,Priyate Bus,14,14,1,15,10,8,3,11,54,85,8,93,39
1991,Military Vehicles,2,2,_,2,_,_,_,0,10,16,2,18,13
